headline,summary,link
"Delhi records more than 6,000 COVID-19 cases in 24hrs for the 1st time","Delhi has registered a record 6,725 new cases of coronavirus in the last 24 hours, which is the highest single-day tally since the outbreak in the national capital. Meanwhile, 3,610 recoveries and 48 deaths have also been recorded in Delhi. The total number of cases in the national capital now stands at 4,03,096, including 3,60,069 recoveries.",https://twitter.com/ANI/status/1323636901266432000?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Javed Akhtar sues Kangana for defamation over statement on Hrithik Roshan,Lyricist Javed Akhtar has filed a defamation case against Kangana Ranaut for repeated allegations that he summoned her to his residence and threatened her for speaking out about her alleged relationship with Hrithik Roshan. Javed said the video interview given by Kangana has affected his reputation. He also alleged Kangana is dragging his name in Sushant Singh Rajput's death case.,https://www.koimoi.com/bollywood-news/javed-akhtar-files-a-defamation-suit-against-kangana-ranaut-over-hrithik-roshan-heres-what-happened/amp/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
What are the milestones in Joe Biden's 48-year political career?,"Joe Biden was elected as a US Senator from Delaware for the first time in 1972 at the age of 29 and served there for 36 years. Prior to becoming a Senator, Biden had served two years on a county board in Delaware. He first ran for US President in 1988 and then in 2008 before dropping out.",https://in.mobile.reuters.com/article/amp/idINKBN27G0ED?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Sandeep sets record for taking most wickets in powerplay in IPL, overtakes Zaheer","SRH fast bowler Sandeep Sharma has set the all-time record for taking most wickets in powerplay in IPL, achieving the feat after dismissing MI's Quinton de Kock in the fifth over today. Sandeep has now taken 53 wickets in the powerplay in IPL. The previous record was held by Zaheer Khan, who had taken 52 wickets.",https://www.iplt20.com/match/2020/56?tab=scorecard&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"After Shanghai, Ant Group's $37 bn IPO suspended in Hong Kong",Ant Group's $37 billion IPO was suspended in Hong Kong shortly after the Shanghai stock exchange suspended it. The IPO was set for November 5 and would have been the world's largest IPO. The suspensions follow a recent meeting of China's top financial regulators with Ant Group Founder Jack Ma and its top executives.,https://www.bloombergquint.com/ipos/ant-group-says-hong-kong-ipo-also-suspended?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
K'taka to enact law banning religious conversions for marriage: Minister,"Karnataka Tourism Minister CT Ravi on Tuesday said a law banning religious conversions for the sake of marriage would be enacted in the state. Ravi added that the government would not remain silent when ""jihadis strip the dignity of women"" in the state. He further said that anyone involved in any act of conversion would face severe and swift punishment.",https://inshorts.com/en/read
"Delhi HC acquits 2 in 2011 murder case, says police planted witness","Delhi High Court on Monday acquitted two convicts in a 2011 murder case and asked the Police Commissioner to look into the conduct of the investigation. The HC said a constable projected by police as an eyewitness was planted to ""solve"" the case. ""Because of the IO and SHO's lackadaisical approach, the entire investigation has been botched,"" the HC added.",https://inshorts.com/en/read
Central Vista project would save ₹1k cr annually in rent: Centre to SC,"Centre on Tuesday told Supreme Court that the ₹20,000 crore Central Vista redevelopment project would ""save money"" instead of wasting it. It would save ₹1,000 crore paid annually as rent for housing central government ministries in Delhi, Solicitor General Tushar Mehta told SC. Centre said there is a shortfall of about 0.38 million square metres in office space for ministries.",https://www.timesnownews.com/amp/india/article/centre-defends-rs-20k-cr-central-vista-project-tells-sc-it-saves-not-wastes-money/676714?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
I slimmed down for 'Miss India': Keerthy on physical transformation,"Actress Keerthy Suresh, while talking about her physical transformation, said that she lost weight for her upcoming film, 'Miss India', because her character demanded it. ""I started working out more after...release of 'Mahanati' (2018),"" Keerthy said, adding, ""'Miss India' is one of the reasons why I slimmed down. Director...told me...I need to look slim so any dress would fit me.""",https://m.hindustantimes.com/regional-movies/keerthy-suresh-on-recent-physical-transformation-i-slimmed-down-for-miss-india/story-zvCyoRMwgWOKb5KAB1yTLM_amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Akshay taught us to be careful on set amid COVID-19: Bell Bottom actor,"Actor Anirudh Dave, who completed the shooting of Akshay Kumar-starrer 'Bell Bottom' amid the coronavirus pandemic, has started shooting for his TV show, 'Lockdown Ki Love Story'. Talking about resuming work, Anirudh said, ""Akshay sir has already taught us to be careful on set...in this pandemic situation. We all have to come out from our homes and start working.""",https://www.koimoi.com/bollywood-news/bell-bottom-akshay-kumar-taught-us-to-be-careful-while-working-amid-pandemic-says-aniruddh-dave/amp/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Trump says he has 'solid chance of winning' as voting begins in US,"As voting began in the US Presidential election, President Donald Trump said that he has a ""solid chance of winning"". ""We think we are winning Texas very big. We think we are winning Florida very big. We think we are winning Arizona very big,"" he added. ""We think we are doing very well everywhere,"" he added.",https://www.wionews.com/world/US-election-2020-donald-trump-solid-chance-of-winning-340168/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
