headline,summary,link
CBSE cuts syllabus by 30% for classes 9 to 12 - The Hindu,"Tue, 07 Jul 2020 14:35:47 GMT",https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL2Nic2UtY3V0cy1zeWxsYWJ1cy1ieS0zMC1mb3ItY2xhc3Nlcy05LXRvLTEyL2FydGljbGUzMjAxNDM3OC5lY2XSAWxodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9jYnNlLWN1dHMtc3lsbGFidXMtYnktMzAtZm9yLWNsYXNzZXMtOS10by0xMi9hcnRpY2xlMzIwMTQzNzguZWNlL2FtcC8?oc=5
UAE embassy says diplomats had no role in gold smuggling case - Hindustan Times,"Tue, 07 Jul 2020 13:52:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy91YWUtZW1iYXNzeS1zYXlzLWRpcGxvbWF0cy1oYWQtbm8tcm9sZS1pbi1nb2xkLXNtdWdnbGluZy1jYXNlL3N0b3J5LUQ3S1RXVnpEWDhKeDZYRlMwTlFJbU0uaHRtbNIBiwFodHRwczovL20uaGluZHVzdGFudGltZXMuY29tL2luZGlhLW5ld3MvdWFlLWVtYmFzc3ktc2F5cy1kaXBsb21hdHMtaGFkLW5vLXJvbGUtaW4tZ29sZC1zbXVnZ2xpbmctY2FzZS9zdG9yeS1EN0tUV1Z6RFg4Sng2WEZTME5RSW1NX2FtcC5odG1s?oc=5
Coronavirus vaccine COVAXIN update: Human trial process starts at Hyderabad's NIMS - Livemint,"Tue, 07 Jul 2020 16:40:51 GMT",https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9jb3JvbmF2aXJ1cy12YWNjaW5lLWNvdmF4aW4tdXBkYXRlLWh1bWFuLXRyaWFsLXByb2Nlc3MtaGFzLXN0YXJ0ZWQtYXQtaHlkZXJhYmFkLXMtbmltcy0xMTU5NDEyOTkyNDU2Ni5odG1s0gGSAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL2Nvcm9uYXZpcnVzLXZhY2NpbmUtY292YXhpbi11cGRhdGUtaHVtYW4tdHJpYWwtcHJvY2Vzcy1oYXMtc3RhcnRlZC1hdC1oeWRlcmFiYWQtcy1uaW1zL2FtcC0xMTU5NDEyOTkyNDU2Ni5odG1s?oc=5
"Disengaging along LAC, a fake cricket league fools thousands, China-Bhutan border dispute - The Indian Express","Tue, 07 Jul 2020 00:44:35 GMT",https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2F1ZGlvLzMtdGhpbmdzL2Rpc2VuZ2FnaW5nLWFsb25nLWxhYy1hLWZha2UtY3JpY2tldC1sZWFndWUtZm9vbHMtdGhvdXNhbmRzLWNoaW5hLWJodXRhbi1ib3JkZXItZGlzcHV0ZS82NDkzMjQ5L9IBAA?oc=5
'Why did BJP govt agree to move back 1.8 km?' Congress’ sharp attack at Centre over Galwan pullback - Times Now,"Tue, 07 Jul 2020 05:39:57 GMT",https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy50aW1lc25vd25ld3MuY29tL2luZGlhL2FydGljbGUvd2h5LWRpZC1ianAtZ292dC1hZ3JlZS10by1tb3ZlLWJhY2stMS04LWttLWNvbmdyZXNzLXNoYXJwLWF0dGFjay1hdC1jZW50cmUtb3Zlci1nYWx3YW4tcHVsbGJhY2svNjE3NTU30gGVAWh0dHBzOi8vd3d3LnRpbWVzbm93bmV3cy5jb20vYW1wL2luZGlhL2FydGljbGUvd2h5LWRpZC1ianAtZ292dC1hZ3JlZS10by1tb3ZlLWJhY2stMS04LWttLWNvbmdyZXNzLXNoYXJwLWF0dGFjay1hdC1jZW50cmUtb3Zlci1nYWx3YW4tcHVsbGJhY2svNjE3NTU3?oc=5
"Chinese Troops Withdraw 2 km In Galwan Valley, Show New Satellite Images - NDTV","Tue, 07 Jul 2020 16:07:30 GMT",https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3MvY2hpbmVzZS10cm9vcHMtd2l0aGRyYXctMi1rbS1pbi1nYWx3YW4tdmFsbGV5LXNob3ctbmV3LXNhdGVsbGl0ZS1pbWFnZXMtMjI1ODc5NtIBhAFodHRwczovL3d3dy5uZHR2LmNvbS9pbmRpYS1uZXdzL2NoaW5lc2UtdHJvb3BzLXdpdGhkcmF3LTIta20taW4tZ2Fsd2FuLXZhbGxleS1zaG93LW5ldy1zYXRlbGxpdGUtaW1hZ2VzLTIyNTg3OTY_YW1wPTEmYWthbWFpLXJ1bT1vZmY?oc=5
Ordeal of people with ‘false’ COVID-19 positive cases in Kashmir - The Hindu,"Mon, 06 Jul 2020 13:20:38 GMT",https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9vdGhlci1zdGF0ZXMvb3JkZWFsLW9mLXBlb3BsZS13aXRoLWZhbHNlLWNvdmlkLTE5LXBvc2l0aXZlLWNhc2VzLWluLWthc2htaXIvYXJ0aWNsZTMyMDA0MDUyLmVjZdIBiwFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9vdGhlci1zdGF0ZXMvb3JkZWFsLW9mLXBlb3BsZS13aXRoLWZhbHNlLWNvdmlkLTE5LXBvc2l0aXZlLWNhc2VzLWluLWthc2htaXIvYXJ0aWNsZTMyMDA0MDUyLmVjZS9hbXAv?oc=5
Govt Committee Recommends Moving LG Polymers Plant Hit by Gas Leak in Vizag That Killed 12 - News18,"Tue, 07 Jul 2020 05:04:37 GMT",https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvaW5kaWEvZ292dC1jb21taXR0ZWUtcmVjb21tZW5kcy1tb3ZpbmctbGctcG9seW1lcnMtcGxhbnQtaGl0LWJ5LXZpemFnLWdhcy1sZWFrLXRoYXQta2lsbGVkLTEyLTI3MDQ1OTkuaHRtbNIBigFodHRwczovL3d3dy5uZXdzMTguY29tL2FtcC9uZXdzL2luZGlhL2dvdnQtY29tbWl0dGVlLXJlY29tbWVuZHMtbW92aW5nLWxnLXBvbHltZXJzLXBsYW50LWhpdC1ieS12aXphZy1nYXMtbGVhay10aGF0LWtpbGxlZC0xMi0yNzA0NTk5Lmh0bWw?oc=5
COVID-19 Patient's Body Dumped Outside Bhopal Hospital. Shocker On CCTV - NDTV,"Tue, 07 Jul 2020 08:45:09 GMT",https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3Lm5kdHYuY29tL2Job3BhbC1uZXdzL2NvdmlkLTE5LXBhdGllbnQtcy1ib2R5LWR1bXBlZC1vdXRzaWRlLWJob3BhbC1ob3NwaXRhbC1zaG9ja2VyLW9uLWNjdHYtMjI1ODQ4ONIBhAFodHRwczovL3d3dy5uZHR2LmNvbS9iaG9wYWwtbmV3cy9jb3ZpZC0xOS1wYXRpZW50LXMtYm9keS1kdW1wZWQtb3V0c2lkZS1iaG9wYWwtaG9zcGl0YWwtc2hvY2tlci1vbi1jY3R2LTIyNTg0ODg_YW1wPTEmYWthbWFpLXJ1bT1vZmY?oc=5
"Exclusive: Will resign if NCP sends us back to Shiv Sena, say Parner corporators - Times Now","Tue, 07 Jul 2020 10:16:08 GMT",https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LnRpbWVzbm93bmV3cy5jb20vaW5kaWEvYXJ0aWNsZS9leGNsdXNpdmUtd2lsbC1yZXNpZ24taWYtbmNwLXNlbmRzLXVzLWJhY2stdG8tc2hpdi1zZW5hLXBhcm5lci1jb3Jwb3JhdG9ycy82MTc3MjnSAYABaHR0cHM6Ly93d3cudGltZXNub3duZXdzLmNvbS9hbXAvaW5kaWEvYXJ0aWNsZS9leGNsdXNpdmUtd2lsbC1yZXNpZ24taWYtbmNwLXNlbmRzLXVzLWJhY2stdG8tc2hpdi1zZW5hLXBhcm5lci1jb3Jwb3JhdG9ycy82MTc3Mjk?oc=5
